latitude,longitude,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,has_VC,has_angel,avg_participants,is_top500
41.875555,-87.624421,1.0356,2.1479,2,2,1050000,1,1,0,1.0,0
37.406914,-122.09037,-1.0521,0.6247,11,2,3700000,3,1,0,3.0,0
30.280148,-97.749908,4.8247,4.8247,1,1,5000000,1,1,0,1.0,1
34.054935,-118.244476,0.6712,0.6712,3,1,100000,2,0,1,1.0,0
37.534538,-122.252466,3.6027,3.6027,2,1,10000000,1,0,0,4.0,1
35.986906,-78.896718,1.7863,3.3014,8,3,3352194,2,0,1,9.5,0
37.566009,-122.321646,0.8301,1.0986,6,2,4500000,2,0,1,3.0,1
26.106273,-80.41894,0.0548,0.0548,4,1,100000,2,0,1,1.0,0
37.386778,-121.966277,7.4904,7.874,6,2,18000000,1,1,0,4.0,1
39.78373,-100.445882,2.8247,2.8247,1,1,20000000,2,0,0,1.0,0
30.280148,-97.749908,0.0,0.0,5,1,20000,2,0,1,1.0,0
37.424298,-122.139809,0.8027,0.8027,5,1,5000000,2,0,0,1.0,1
39.78373,-100.445882,0.7479,7.8247,16,7,26390819,3,1,0,1.3333,1
40.73901,-73.997259,0.0849,0.0849,1,1,31000,1,0,1,2.0,0
30.409765000000004,-97.75101,4.4521,7.2274,5,2,5992316,1,1,0,2.0,0
40.729839,-73.991781,1.1836,1.3781,7,2,1900000,2,0,1,2.5,1
37.779281,-122.419236,9.3534,12.4055,9,3,30300000,2,1,0,4.5,1
42.479262,-71.152277,2.4164,4.7753,2,2,15000000,1,0,0,2.5,1
34.098242,-118.35697,0.3616,0.3616,9,1,100000,3,0,1,1.0,0
42.37564,-71.2358,7.6932,14.0329,3,3,24150000,2,1,0,2.3333,1
35.96544,-115.106579,1.5973,2.1781,2,2,2387481,1,1,0,1.0,1
47.614422,-122.192337,4.2959,4.2959,3,1,5000000,1,1,0,5.0,1
40.730646,-73.986614,0.6685,1.926,2,2,10800000,1,1,0,2.0,1
34.054935,-118.244476,0.0,1.4137,1,2,3350000,1,0,1,2.5,1
37.222698,-121.979887,0.7726,0.7726,3,1,2000000,2,0,0,1.0,0
37.391642,-122.09393500000002,0.2466,1.0,3,5,185000,1,1,1,2.0,1
54.983201,-1.574631,-1.0,0.0,9,2,55600000,2,0,0,2.0,0
47.603832,-122.330062,0.8329,0.8329,3,1,12000,1,0,1,1.0,1
37.779281,-122.419236,1.4137,4.2795,5,2,889999,2,1,1,3.5,1
30.409765000000004,-97.75101,2.0301,9.3808,10,4,49600000,1,0,0,2.6667,1
40.750519,-73.993494,2.0,2.0,8,1,200000,3,0,1,2.0,1
39.099909,-84.504243,0.0,0.0,2,1,20000,1,0,1,1.0,0
39.099909,-84.504243,0.2849,0.2849,2,1,1200000,2,0,0,4.0,1
34.054935,-118.244476,1.8301,1.8301,4,1,1700000,2,0,0,7.0,1
34.054935,-118.244476,1.0877,2.5616,7,2,9500000,1,0,0,2.5,1
40.347054,-74.064306,10.9068,10.9068,5,1,275000,1,0,1,2.0,0
40.730646,-73.986614,0.8904,0.8904,15,1,4000000,2,0,0,3.0,1
40.74929,-73.981328,0.7151,0.7151,2,1,500000,2,0,1,1.0,1
40.650104,-73.94958199999998,0.0,2.4274,8,2,9030000,2,0,1,4.0,1
34.050451,-118.437775,0.6658,0.6658,2,1,20000,1,0,1,1.0,0
37.386778,-121.966277,6.263,6.263,10,1,22200000,1,0,0,9.0,1
42.49173,-71.28179499999997,4.9342,4.9342,2,1,12000000,1,0,0,4.0,1
47.184901,-122.292141,0.0164,0.0164,1,1,30000,1,0,1,2.0,0
37.496904,-122.333057,0.9863,1.6575,1,2,7500000,1,0,0,1.0,0
37.441537,-122.158332,0.0,0.6411,11,2,41000000,2,0,0,1.5,1
37.406914,-122.09037,3.811,5.1781,2,2,17000000,2,1,0,3.0,1
37.424298,-122.139809,0.6767,1.4493,2,2,21189,1,1,1,1.0,1
33.956215,-83.987962,0.2986,0.2986,1,1,19000,1,0,1,1.0,0
40.729839,-73.991781,0.0082,1.1479,5,3,900000,3,0,1,1.5,1
37.779281,-122.419236,-0.0027,-0.0027,2,1,500000,1,0,1,1.0,0
40.730646,-73.986614,2.0027,3.0027,7,2,2000000,3,1,1,3.0,0
45.630695,-122.674456,0.0,1.5808,1,2,400000,1,0,1,1.0,0
37.288136,-121.79765,0.7671,0.7671,1,1,50000,1,0,1,1.0,0
39.952399,-75.16359,1.811,2.4548,2,2,1175000,1,1,0,1.0,0
40.116421,-88.243383,1.9562,3.5123,1,2,2408500,1,0,1,3.0,1
37.386778,-121.966277,2.1644,5.8493,3,4,72000000,1,0,0,2.25,1
44.96659,-93.331943,1.0,2.0,2,2,18400000,1,1,0,1.0,0
39.78373,-100.445882,0.6685,0.6685,2,1,2600000,1,0,0,1.0,0
35.780398,-78.639099,21.8959,21.8959,1,1,8000000,1,1,0,2.0,0
41.875555,-87.624421,1.063,2.4822,1,2,950000,2,1,0,3.0,1
37.779281,-122.419236,5.8438,6.9452,6,2,13000000,2,1,0,2.0,1
30.271129,-97.743699,0.4301,0.4301,6,1,13000000,1,0,0,4.0,1
42.37564,-71.2358,0.1671,0.1671,3,1,20000,1,0,1,1.0,0
42.504817,-71.195611,4.5397,9.337,2,2,19000000,1,1,0,3.5,1
37.779281,-122.419236,3.0356,6.7534,2,3,33000000,1,0,0,4.0,1
34.102827000000005,-118.32999,0.8329,0.8329,5,1,154000,2,0,1,1.0,0
34.054935,-118.244476,4.8082,4.8082,4,1,35000000,2,0,0,3.0,1
30.409765000000004,-97.75101,2.6247,2.6247,1,1,48000000,3,1,0,5.0,1
40.477604,-74.626824,0.6767,0.789,2,2,125000,1,0,1,1.0,0
34.491118,-119.808096,10.8795,10.8795,3,1,1000000,1,0,0,2.0,1
37.779281,-122.419236,1.2164,1.2164,6,1,5500000,2,0,0,8.0,1
34.147645000000004,-118.144478,1.7616,2.326,12,2,3529175,3,1,0,1.0,0
40.728425,-73.999882,0.0,0.0,2,1,1500000,1,0,0,6.0,1
42.961748,-78.870914,0.1288,0.274,5,2,11000,1,0,1,1.0,0
32.833501,-117.26162,0.8521,0.8521,3,1,500000,3,0,1,3.0,1
40.233844,-111.658534,-0.0192,0.8959,4,2,72000,1,0,1,1.0,0
37.416597,-122.154064,6.6027,6.6027,3,1,10360000,1,0,0,5.0,1
40.759089,-73.987573,-0.1151,-0.1151,1,1,150000,1,0,1,1.0,0
39.96226,-83.00070600000002,0.0,0.0,2,1,250000,1,0,1,1.0,0
39.78373,-100.445882,1.4959,1.6658,2,2,30150000,3,0,0,1.5,1
34.050451,-118.437775,0.4658,1.2247,5,2,300000,2,0,1,2.0,1
41.678675,-83.51272800000002,1.2849,1.2849,1,1,15000,1,0,1,1.0,0
37.551882,-122.313472,9.7315,9.7315,2,1,8000000,1,1,0,3.0,1
39.364504,-84.247556,0.2247,0.9534,2,2,700000,2,0,1,2.5,0
37.779281,-122.419236,-0.3288,0.337,5,2,1015000,2,0,1,5.0,1
43.493525,-112.040092,2.337,2.337,5,1,4000000,4,0,0,1.0,1
42.504817,-71.195611,5.2027,8.1178,2,2,10000000,1,1,0,2.5,1
40.73901,-73.997259,0.1671,3.7808,6,2,626096,3,1,0,1.0,1
37.404788,-121.940842,5.7836,5.7836,1,1,10000000,1,1,0,3.0,1
37.779281,-122.419236,4.5315,4.5315,1,1,1310000,1,1,0,4.0,1
34.748528,-92.287158,9.7534,9.7534,1,1,50000,1,1,0,1.0,0
37.440682,-122.123103,3.1342,5.2521,6,2,6760000,2,1,0,1.5,1
37.336191,-121.890583,4.0356,4.0356,3,1,954000,1,1,0,1.0,0
42.504817,-71.195611,7.2521,9.2274,1,3,52000000,1,1,0,2.6667,1
